album_name,release_date,polarity
Upbeats and Beatdowns,1997-04-08,0.11235536606533053
Our Newest Album Ever,1997-11-11,0.08578854946671038
Quantity is Job One,1998-11-03,-0.0016440711152882171
Proof That the Youth Are Revolting,1999-11-02,0.09875836814727174
All the Hype That Money Can Buy,2000-04-25,0.05381908553464677
Electric Boogaloo,2001-11-20,0.08241277086465378
Cheeses of Nazareth,2003-04-22,0.08664837287605148
The End Is Near,2003-06-18,0.013485282971043263
The End Is Here,2004-04-20,0.10755301025865674
Engine of a Million Plots,2013-11-26,-0.009324586977648203
Between Pavement and Stars,2015-11-22,0.14298034051452022
